2017 NAICS Code,2017 NAICS Title
,
111110,SOYBEAN FARMING
111120,OILSEED (EXCEPT SOYBEAN) FARMING 
111130,DRY PEA AND BEAN FARMING 
111140,WHEAT FARMING
111150,CORN FARMING 
111160,RICE FARMING
111191,OILSEED AND GRAIN COMBINATION FARMING 
111199,ALL OTHER GRAIN FARMING 
111211,POTATO FARMING 
111219,OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING 
111310,ORANGE GROVES
111320,CITRUS (EXCEPT ORANGE) GROVES 
111331,APPLE ORCHARDS 
111332,GRAPE VINEYARDS 
111333,STRAWBERRY FARMING 
111334,BERRY (EXCEPT STRAWBERRY) FARMING 
111335,TREE NUT FARMING 
111336,FRUIT AND TREE NUT COMBINATION FARMING 
111339,OTHER NONCITRUS FRUIT FARMING 
111411,MUSHROOM PRODUCTION 
111419,OTHER FOOD CROPS GROWN UNDER COVER 
111421,NURSERY AND TREE PRODUCTION 
111422,FLORICULTURE PRODUCTION 
111910,TOBACCO FARMING
111920,COTTON FARMING
111930,SUGARCANE FARMING
111940,HAY FARMING 
111991,SUGAR BEET FARMING 
111992,PEANUT FARMING 
111998,ALL OTHER MISCELLANEOUS CROP FARMING 
112111,BEEF CATTLE RANCHING AND FARMING 
112112,CATTLE FEEDLOTS 
112120,DAIRY CATTLE AND MILK PRODUCTION
112130,DUAL-PURPOSE CATTLE RANCHING AND FARMING 
112210,HOG AND PIG FARMING 
112310,CHICKEN EGG PRODUCTION 
112320,BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION 
112330,TURKEY PRODUCTION
112340,POULTRY HATCHERIES
112390,OTHER POULTRY PRODUCTION 
112410,SHEEP FARMING
112420,GOAT FARMING
112511,FINFISH FARMING AND FISH HATCHERIES 
112512,SHELLFISH FARMING 
112519,OTHER AQUACULTURE 
112910,APICULTURE
112920,HORSES AND OTHER EQUINE PRODUCTION
112930,FUR-BEARING ANIMAL AND RABBIT PRODUCTION
112990,ALL OTHER ANIMAL PRODUCTION 
113110,TIMBER TRACT OPERATIONS
113210,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS 
113310,LOGGING 
114111,FINFISH FISHING 
114112,SHELLFISH FISHING 
114119,OTHER MARINE FISHING 
114210,HUNTING AND TRAPPING
115111,COTTON GINNING 
115112,"SOIL PREPARATION, PLANTING, AND CULTIVATING "
115113,"CROP HARVESTING, PRIMARILY BY MACHINE "
115114,POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING) 
115115,FARM LABOR CONTRACTORS AND CREW LEADERS 
115116,FARM MANAGEMENT SERVICES 
115210,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION
115310,SUPPORT ACTIVITIES FOR FORESTRY
211120,CRUDE PETROLEUM EXTRACTION 
211130,NATURAL GAS EXTRACTION 
212111,BITUMINOUS COAL AND LIGNITE SURFACE MINING 
212112,BITUMINOUS COAL UNDERGROUND MINING 
212113,ANTHRACITE MINING 
212210,IRON ORE MINING
212221,GOLD ORE MINING 
212222,SILVER ORE MINING 
212230,"COPPER, NICKEL, LEAD, AND ZINC MINING "
212291,URANIUM-RADIUM-VANADIUM ORE MINING 
212299,ALL OTHER METAL ORE MINING 
212311,DIMENSION STONE MINING AND QUARRYING 
212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING 
212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING 
212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING 
212321,CONSTRUCTION SAND AND GRAVEL MINING 
212322,INDUSTRIAL SAND MINING 
212324,KAOLIN AND BALL CLAY MINING 
212325,CLAY AND CERAMIC AND REFRACTORY MINERALS MINING 
212391,"POTASH, SODA, AND BORATE MINERAL MINING "
212392,PHOSPHATE ROCK MINING 
212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING 
212399,ALL OTHER NONMETALLIC MINERAL MINING 
213111,DRILLING OIL AND GAS WELLS
213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS 
213113,SUPPORT ACTIVITIES FOR COAL MINING 
213114,SUPPORT ACTIVITIES FOR METAL MINING 
213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS) MINING 
221111,HYDROELECTRIC POWER GENERATION 
221112,FOSSIL FUEL ELECTRIC POWER GENERATION 
221113,NUCLEAR ELECTRIC POWER GENERATION 
221114,SOLAR ELECTRIC POWER GENERATION 
221115,WIND ELECTRIC POWER GENERATION 
221116,GEOTHERMAL ELECTRIC POWER GENERATION 
221117,BIOMASS ELECTRIC POWER GENERATION 
221118,OTHER ELECTRIC POWER GENERATION 
221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL 
221122,ELECTRIC POWER DISTRIBUTION 
221210,NATURAL GAS DISTRIBUTION 
221310,WATER SUPPLY AND IRRIGATION SYSTEMS 
221320,SEWAGE TREATMENT FACILITIES 
221330,STEAM AND AIR-CONDITIONING SUPPLY 
236115,NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS) 
236116,NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS) 
236117,NEW HOUSING FOR-SALE BUILDERS 
236118,RESIDENTIAL REMODELERS 
236210,INDUSTRIAL BUILDING CONSTRUCTION 
236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION 
237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION 
237120,OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION 
237130,POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION 
237210,LAND SUBDIVISION 
237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION "
237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION 
238110,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS 
238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS 
238130,FRAMING CONTRACTORS 
238140,MASONRY CONTRACTORS 
238150,GLASS AND GLAZING CONTRACTORS 
238160,ROOFING CONTRACTORS 
238170,SIDING CONTRACTORS 
238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS "
238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS
238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS "
238290,OTHER BUILDING EQUIPMENT CONTRACTORS 
238310,DRYWALL AND INSULATION CONTRACTORS 
238320,PAINTING AND WALL COVERING CONTRACTORS
238330,FLOORING CONTRACTORS
238340,TILE AND TERRAZZO CONTRACTORS
238350,FINISH CARPENTRY CONTRACTORS
238390,OTHER BUILDING FINISHING CONTRACTORS
238910,SITE PREPARATION CONTRACTORS
238990,ALL OTHER SPECIALTY TRADE CONTRACTORS
311111,DOG AND CAT FOOD MANUFACTURING 
311119,OTHER ANIMAL FOOD MANUFACTURING 
311211,FLOUR MILLING 
311212,RICE MILLING 
311213,MALT MANUFACTURING 
311221,WET CORN MILLING 
311224,SOYBEAN AND OTHER OILSEED PROCESSING 
311225,FATS AND OILS REFINING AND BLENDING 
311230,BREAKFAST CEREAL MANUFACTURING
311313,BEET SUGAR MANUFACTURING 
311314,CANE SUGAR MANUFACTURING 
311340,NONCHOCOLATE CONFECTIONERY MANUFACTURING
311351,CHOCOLATE AND CONFECTIONERY MANUFACTURING FROM CACAO BEANS 
311352,CONFECTIONERY MANUFACTURING FROM PURCHASED CHOCOLATE 
311411,"FROZEN FRUIT, JUICE, AND VEGETABLE MANUFACTURING "
311412,FROZEN SPECIALTY FOOD MANUFACTURING 
311421,FRUIT AND VEGETABLE CANNING 
311422,SPECIALTY CANNING 
311423,DRIED AND DEHYDRATED FOOD MANUFACTURING 
311511,FLUID MILK MANUFACTURING 
311512,CREAMERY BUTTER MANUFACTURING 
311513,CHEESE MANUFACTURING 
311514,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING "
311520,ICE CREAM AND FROZEN DESSERT MANUFACTURING
311611,ANIMAL (EXCEPT POULTRY) SLAUGHTERING 
311612,MEAT PROCESSED FROM CARCASSES 
311613,RENDERING AND MEAT BYPRODUCT PROCESSING 
311615,POULTRY PROCESSING 
311710,SEAFOOD PRODUCT PREPARATION AND PACKAGING
311811,RETAIL BAKERIES 
311812,COMMERCIAL BAKERIES 
311813,"FROZEN CAKES, PIES, AND OTHER PASTRIES MANUFACTURING "
311821,COOKIE AND CRACKER MANUFACTURING 
311824,"DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR "
311830,TORTILLA MANUFACTURING
311911,ROASTED NUTS AND PEANUT BUTTER MANUFACTURING 
311919,OTHER SNACK FOOD MANUFACTURING 
311920,COFFEE AND TEA MANUFACTURING 
311930,FLAVORING SYRUP AND CONCENTRATE MANUFACTURING
311941,"MAYONNAISE, DRESSING, AND OTHER PREPARED SAUCE MANUFACTURING "
311942,SPICE AND EXTRACT MANUFACTURING 
311991,PERISHABLE PREPARED FOOD MANUFACTURING 
311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING 
312111,SOFT DRINK MANUFACTURING 
312112,BOTTLED WATER MANUFACTURING 
312113,ICE MANUFACTURING 
312120,BREWERIES
312130,WINERIES 
312140,DISTILLERIES 
312230,TOBACCO MANUFACTURING 
313110,"FIBER, YARN, AND THREAD MILLS "
313210,BROADWOVEN FABRIC MILLS
313220,NARROW FABRIC MILLS AND SCHIFFLI MACHINE EMBROIDERY
313230,NONWOVEN FABRIC MILLS
313240,KNIT FABRIC MILLS
313310,TEXTILE AND FABRIC FINISHING MILLS 
313320,FABRIC COATING MILLS
314110,CARPET AND RUG MILLS
314120,CURTAIN AND LINEN MILLS
314910,TEXTILE BAG AND CANVAS MILLS 
314994,"ROPE, CORDAGE, TWINE, TIRE CORD, AND TIRE FABRIC MILLS "
314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS 
315110,HOSIERY AND SOCK MILLS
315190,OTHER APPAREL KNITTING MILLS 
315210,CUT AND SEW APPAREL CONTRACTORS 
315220,MEN’S AND BOYS’ CUT AND SEW APPAREL MANUFACTURING 
315240,"WOMEN’S, GIRLS’, AND INFANTS’ CUT AND SEW APPAREL MANUFACTURING "
315280,OTHER CUT AND SEW APPAREL MANUFACTURING 
315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING 
316110,LEATHER AND HIDE TANNING AND FINISHING
316210,FOOTWEAR MANUFACTURING 
316992,WOMEN'S HANDBAG AND PURSE MANUFACTURING 
316998,ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING 
321113,SAWMILLS 
321114,WOOD PRESERVATION 
321211,HARDWOOD VENEER AND PLYWOOD MANUFACTURING 
321212,SOFTWOOD VENEER AND PLYWOOD MANUFACTURING 
321213,ENGINEERED WOOD MEMBER (EXCEPT TRUSS) MANUFACTURING 
321214,TRUSS MANUFACTURING 
321219,RECONSTITUTED WOOD PRODUCT MANUFACTURING 
321911,WOOD WINDOW AND DOOR MANUFACTURING 
321912,"CUT STOCK, RESAWING LUMBER, AND PLANING "
321918,OTHER MILLWORK (INCLUDING FLOORING) 
321920,WOOD CONTAINER AND PALLET MANUFACTURING
321991,MANUFACTURED HOME (MOBILE HOME) MANUFACTURING 
321992,PREFABRICATED WOOD BUILDING MANUFACTURING 
321999,ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING 
322110,PULP MILLS 
322121,PAPER (EXCEPT NEWSPRINT) MILLS 
322122,NEWSPRINT MILLS 
322130,PAPERBOARD MILLS 
322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING 
322212,FOLDING PAPERBOARD BOX MANUFACTURING 
322219,OTHER PAPERBOARD CONTAINER MANUFACTURING 
322220,PAPER BAG AND COATED AND TREATED PAPER MANUFACTURING
322230,STATIONERY PRODUCT MANUFACTURING
322291,SANITARY PAPER PRODUCT MANUFACTURING 
322299,ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING 
323111,COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS) 
323113,COMMERCIAL SCREEN PRINTING 
323117,BOOKS PRINTING 
323120,SUPPORT ACTIVITIES FOR PRINTING
324110,PETROLEUM REFINERIES
324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING 
324122,ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING 
324191,PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING 
324199,ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING 
325110,PETROCHEMICAL MANUFACTURING
325120,INDUSTRIAL GAS MANUFACTURING
325130,SYNTHETIC DYE AND PIGMENT MANUFACTURING
325180,OTHER BASIC INORGANIC CHEMICAL MANUFACTURING 
325193,ETHYL ALCOHOL MANUFACTURING 
325194,"CYCLIC CRUDE, INTERMEDIATE, AND GUM AND WOOD CHEMICAL MANUFACTURING "
325199,ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING 
325211,PLASTICS MATERIAL AND RESIN MANUFACTURING 
325212,SYNTHETIC RUBBER MANUFACTURING 
325220,ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING
325311,NITROGENOUS FERTILIZER MANUFACTURING 
325312,PHOSPHATIC FERTILIZER MANUFACTURING 
325314,FERTILIZER (MIXING ONLY) MANUFACTURING 
325320,PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING
325411,MEDICINAL AND BOTANICAL MANUFACTURING 
325412,PHARMACEUTICAL PREPARATION MANUFACTURING 
325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING 
325414,BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING 
325510,PAINT AND COATING MANUFACTURING
325520,ADHESIVE MANUFACTURING
325611,SOAP AND OTHER DETERGENT MANUFACTURING 
325612,POLISH AND OTHER SANITATION GOOD MANUFACTURING 
325613,SURFACE ACTIVE AGENT MANUFACTURING 
325620,TOILET PREPARATION MANUFACTURING
325910,PRINTING INK MANUFACTURING
325920,EXPLOSIVES MANUFACTURING
325991,CUSTOM COMPOUNDING OF PURCHASED RESINS 
325992,"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING "
325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING 
326111,PLASTICS BAG AND POUCH MANUFACTURING 
326112,PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING 
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING 
326121,UNLAMINATED PLASTICS PROFILE SHAPE MANUFACTURING 
326122,PLASTICS PIPE AND PIPE FITTING MANUFACTURING 
326130,"LAMINATED PLASTICS PLATE, SHEET (EXCEPT PACKAGING), AND SHAPE MANUFACTURING"
326140,POLYSTYRENE FOAM PRODUCT MANUFACTURING
326150,URETHANE AND OTHER FOAM PRODUCT (EXCEPT POLYSTYRENE) MANUFACTURING
326160,PLASTICS BOTTLE MANUFACTURING
326191,PLASTICS PLUMBING FIXTURE MANUFACTURING 
326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING 
326211,TIRE MANUFACTURING (EXCEPT RETREADING) 
326212,TIRE RETREADING 
326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING
326291,RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE 
326299,ALL OTHER RUBBER PRODUCT MANUFACTURING 
327110,"POTTERY, CERAMICS, AND PLUMBING FIXTURE MANUFACTURING "
327120,CLAY BUILDING MATERIAL AND REFRACTORIES MANUFACTURING 
327211,FLAT GLASS MANUFACTURING 
327212,OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING 
327213,GLASS CONTAINER MANUFACTURING 
327215,GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS 
327310,CEMENT MANUFACTURING
327320,READY-MIX CONCRETE MANUFACTURING
327331,CONCRETE BLOCK AND BRICK MANUFACTURING 
327332,CONCRETE PIPE MANUFACTURING 
327390,OTHER CONCRETE PRODUCT MANUFACTURING 
327410,LIME MANUFACTURING
327420,GYPSUM PRODUCT MANUFACTURING
327910,ABRASIVE PRODUCT MANUFACTURING
327991,CUT STONE AND STONE PRODUCT MANUFACTURING 
327992,GROUND OR TREATED MINERAL AND EARTH MANUFACTURING 
327993,MINERAL WOOL MANUFACTURING 
327999,ALL OTHER MISCELLANEOUS NONMETALLIC MINERAL PRODUCT MANUFACTURING 
331110,IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING 
331210,IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL
331221,ROLLED STEEL SHAPE MANUFACTURING 
331222,STEEL WIRE DRAWING 
331313,ALUMINA REFINING AND PRIMARY ALUMINUM PRODUCTION 
331314,SECONDARY SMELTING AND ALLOYING OF ALUMINUM 
331315,"ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING "
331318,"OTHER ALUMINUM ROLLING, DRAWING, AND EXTRUDING "
331410,NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING 
331420,"COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING"
331491,"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING "
331492,"SECONDARY SMELTING, REFINING, AND ALLOYING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) "
331511,IRON FOUNDRIES 
331512,STEEL INVESTMENT FOUNDRIES 
331513,STEEL FOUNDRIES (EXCEPT INVESTMENT) 
331523,NONFERROUS METAL DIE-CASTING FOUNDRIES 
331524,ALUMINUM FOUNDRIES (EXCEPT DIE-CASTING) 
331529,OTHER NONFERROUS METAL FOUNDRIES (EXCEPT DIE-CASTING) 
332111,IRON AND STEEL FORGING 
332112,NONFERROUS FORGING 
332114,CUSTOM ROLL FORMING 
332117,POWDER METALLURGY PART MANUFACTURING 
332119,"METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE) "
332215,"METAL KITCHEN COOKWARE, UTENSIL, CUTLERY, AND FLATWARE (EXCEPT PRECIOUS) MANUFACTURING "
332216,SAW BLADE AND HANDTOOL MANUFACTURING 
332311,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING 
332312,FABRICATED STRUCTURAL METAL MANUFACTURING 
332313,PLATE WORK MANUFACTURING 
332321,METAL WINDOW AND DOOR MANUFACTURING 
332322,SHEET METAL WORK MANUFACTURING 
332323,ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING 
332410,POWER BOILER AND HEAT EXCHANGER MANUFACTURING
332420,METAL TANK (HEAVY GAUGE) MANUFACTURING
332431,METAL CAN MANUFACTURING 
332439,OTHER METAL CONTAINER MANUFACTURING 
332510,HARDWARE MANUFACTURING
332613,SPRING MANUFACTURING 
332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING 
332710,MACHINE SHOPS
332721,PRECISION TURNED PRODUCT MANUFACTURING 
332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING "
332811,METAL HEAT TREATING 
332812,"METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS "
332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING "
332911,INDUSTRIAL VALVE MANUFACTURING 
332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING 
332913,PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING 
332919,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING 
332991,BALL AND ROLLER BEARING MANUFACTURING
332992,SMALL ARMS AMMUNITION MANUFACTURING 
332993,AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING 
332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING "
332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING 
332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING 
333111,FARM MACHINERY AND EQUIPMENT MANUFACTURING 
333112,LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING 
333120,CONSTRUCTION MACHINERY MANUFACTURING
333131,MINING MACHINERY AND EQUIPMENT MANUFACTURING 
333132,OIL AND GAS FIELD MACHINERY AND EQUIPMENT MANUFACTURING 
333241,FOOD PRODUCT MACHINERY MANUFACTURING 
333242,SEMICONDUCTOR MACHINERY MANUFACTURING 
